"a_long","c_long","d_long","p_long","z_long","z_obese_long","z_diabetes_long","z_food_long","z_inactive_long","z_low_bw_long"
"Albemarle County","Accomack County","232.45","32238","3.39612595537703","0.400539170635822","0.609178570873722","0.397540448410242","1.30324268447995","0.685625080977291"
"Albemarle County","Albemarle County","14.0833333333333","110652","-7.84191772208181","-2.49204235124098","-1.59546768562165","-0.715572807138436","-1.74210918144978","-1.29672569663096"
"Albemarle County","Alexandria City","131.8","158726","-6.30034068123869","-2.25099389108458","-1.04430612149781","-0.715572807138436","-1.48832985928897","-0.8011380022289"
"Albemarle County","Alleghany County","110.166666666667","14701","0.324740003412742","0.159490710479422","-0.493144557373966","0.675818762297412","0.28812539583671","-0.305550307826837"
"Albemarle County","Amelia County","83.9333333333333","13014","-1.22762716473137","-0.0815577496769776","0.058017006749878","-0.437294493251266","0.0343460736758989","-0.8011380022289"
"Albemarle County","Amherst County","70.8333333333333","31667","-0.732039470329303","-0.0815577496769776","0.058017006749878","-0.437294493251266","0.0343460736758989","-0.305550307826837"
"Albemarle County","Appomattox County","74.2","16043","0.561153312003499","0.159490710479422","0.058017006749878","0.119262134523073","0.0343460736758989","0.190037386575227"
"Albemarle County","Arlington County","130.8","240119","-7.90384938773655","-2.00994543092818","-1.59546768562165","-0.993851121025605","-2.50344714793221","-0.8011380022289"
"Albemarle County","Augusta County","42.4166666666667","76544","-3.30126184162247","-0.322606209833378","-0.493144557373966","-0.715572807138436","-0.473212570645723","-1.29672569663096"
"Albemarle County","Bath County","96.9666666666667","4119","1.15266005725405","0.641587630792222","0.058017006749878","0.954097076184581","0.795684040158332","-1.29672569663096"
"Albemarle County","Bedford County","95.3333333333333","79811","-4.84131905829588","-1.04575159030258","-1.04430612149781","-0.715572807138436","-1.23455053712816","-0.8011380022289"
"Albemarle County","Bland County","178.25","6239","-0.243787574281156","0.159490710479422","-0.493144557373966","0.119262134523073","-0.219433248484912","0.190037386575227"
"Albemarle County","Botetourt County","100.183333333333","33633","-4.14267266955304","-0.322606209833378","-1.04430612149781","-0.993851121025605","-0.980771214967346","-0.8011380022289"
"Albemarle County","Bristol City","224.216666666667","17329","3.3260133454179","0.159490710479422","0.609178570873722","2.06721033173326","0.795684040158332","-0.305550307826837"
"Albemarle County","Brunswick County","130.1","16037","7.2587591993391","1.36473301126142","2.26266326324525","0.397540448410242","1.55702200664077","1.67680046978142"
"Albemarle County","Buchanan County","277.683333333333","20613","6.11642033670675","0.882636090948622","0.609178570873722","2.6237669595076","1.81080132880158","0.190037386575227"
"Albemarle County","Buckingham County","48","17168","4.65694212588081","1.60578147141782","1.16034013499757","0.397540448410242","1.30324268447995","0.190037386575227"
"Albemarle County","Buena Vista City","68.5","6402","1.89739192225128","0.400539170635822","0.609178570873722","0.397540448410242","0.795684040158332","-0.305550307826837"
"Albemarle County","Campbell County","82.8333333333333","55304","0.764212006344277","0.882636090948622","0.058017006749878","-0.159016179364097","0.28812539583671","-0.305550307826837"
"Albemarle County","Caroline County","88.45","30860","-0.32364234539319","0.641587630792222","0.058017006749878","-0.993851121025605","-0.219433248484912","0.190037386575227"
"Albemarle County","Carroll County","179.7","30074","-0.133617837258552","-0.0815577496769776","-0.493144557373966","0.954097076184581","0.28812539583671","-0.8011380022289"
"Albemarle County","Charles City County","98.6833333333333","6821","3.58257854823261","0.882636090948622","1.16034013499757","-0.437294493251266","0.795684040158332","1.18121277537935"
"Albemarle County","Charlotte County","110.316666666667","11820","5.74707621387284","1.12368455110502","1.16034013499757","1.23237539007175","1.04946336231914","1.18121277537935"
"Albemarle County","Charlottesville City","11.6666666666667","46950","-1.87727557002149","-0.804703130146177","0.058017006749878","0.397540448410242","-0.726991892806535","-0.8011380022289"
"Albemarle County","Chesapeake City","171.083333333333","247011","-1.0595185878668","0.159490710479422","0.058017006749878","-0.993851121025605","-0.473212570645723","0.190037386575227"
"Albemarle County","Chesterfield County","82.75","358245","-2.63832548244069","0.159490710479422","-0.493144557373966","-1.27212943491277","-0.726991892806535","-0.305550307826837"
"Albemarle County","Clarke County","131.2","14622","-5.61518506658511","-1.04575159030258","-1.04430612149781","-0.993851121025605","-1.23455053712816","-1.29672569663096"
"Albemarle County","Colonial Heights City","85.3166666666667","17205","-0.0399689678555252","0.641587630792222","-0.493144557373966","-0.159016179364097","-0.219433248484912","0.190037386575227"
"Albemarle County","Covington City","96.0833333333333","5639","2.05988734512925","0.159490710479422","0.058017006749878","0.119262134523073","0.541904717997521","1.18121277537935"
"Albemarle County","Craig County","141.333333333333","5077","-2.76228931775429","-0.804703130146177","-1.04430612149781","0.119262134523073","-0.726991892806535","-0.305550307826837"
"Albemarle County","Culpeper County","64.2166666666667","53569","-2.34807621863396","0.159490710479422","-0.493144557373966","-0.993851121025605","-0.219433248484912","-0.8011380022289"
"Albemarle County","Cumberland County","68.2333333333333","9933","0.740472926702771","0.641587630792222","0.058017006749878","-0.437294493251266","0.28812539583671","0.190037386575227"
"Albemarle County","Danville City","136.883333333333","39869","9.12199938353551","1.12368455110502","2.26266326324525","1.51065370395892","1.55702200664077","2.66797585858555"
"Albemarle County","Dickenson County","292.433333333333","14078","4.11185030362669","0.159490710479422","0.609178570873722","2.34548864562043","1.30324268447995","-0.305550307826837"
"Albemarle County","Dinwiddie County","105.2","28688","1.46437821925682","1.12368455110502","0.058017006749878","-0.437294493251266","0.0343460736758989","0.685625080977291"
"Albemarle County","Emporia City","123.7","5257","11.4527468003195","2.56997531204342","3.36498639149294","1.51065370395892","2.82591861744482","1.18121277537935"
